Date;individuals
08.03.2017;0
09.03.2017;0
10.03.2017;0
11.03.2017;0
12.03.2017;0
13.03.2017;0
14.03.2017;9
15.03.2017;0
16.03.2017;346
17.03.2017;33
18.03.2017;0
19.03.2017;0
20.03.2017;1987
21.03.2017;1351
22.03.2017;1084
23.03.2017;1252
24.03.2017;0
25.03.2017;0
26.03.2017;28
27.03.2017;0
28.03.2017;1191
29.03.2017;1
30.03.2017;1133
31.03.2017;14
01.04.2017;0
02.04.2017;233
03.04.2017;0
04.04.2017;259
05.04.2017;0
06.04.2017;320
07.04.2017;1574
08.04.2017;229
09.04.2017;0
10.04.2017;76
11.04.2017;0
12.04.2017;68
13.04.2017;0
14.04.2017;60
15.04.2017;1819
16.04.2017;1156
17.04.2017;2616
18.04.2017;2774
19.04.2017;1212
20.04.2017;0
21.04.2017;143
22.04.2017;0
23.04.2017;0
24.04.2017;0
25.04.2017;13
26.04.2017;0
27.04.2017;0
28.04.2017;147
29.04.2017;0
30.04.2017;188
01.05.2017;0
02.05.2017;0
03.05.2017;15
04.05.2017;0
05.05.2017;143
06.05.2017;886
07.05.2017;2881
08.05.2017;1340
09.05.2017;1738
10.05.2017;864
11.05.2017;15
12.05.2017;0
13.05.2017;0
14.05.2017;3
15.05.2017;641
16.05.2017;0
17.05.2017;0
18.05.2017;0
19.05.2017;167
20.05.2017;2068
21.05.2017;1065
22.05.2017;1194
23.05.2017;31
24.05.2017;236
25.05.2017;14
26.05.2017;3400
27.05.2017;2162
28.05.2017;2934
29.05.2017;1276
30.05.2017;0
31.05.2017;0
01.06.2017;0
02.06.2017;127
03.06.2017;11
04.06.2017;0
05.06.2017;592
06.06.2017;126
07.06.2017;0
08.06.2017;81
09.06.2017;6
10.06.2017;2
11.06.2017;514
12.06.2017;2211
13.06.2017;1397
14.06.2017;0
15.06.2017;47
16.06.2017;26
17.06.2017;1325
18.06.2017;1360
19.06.2017;2658
20.06.2017;466
21.06.2017;522
22.06.2017;71
23.06.2017;251
24.06.2017;169
25.06.2017;551
26.06.2017;197
27.06.2017;3672
28.06.2017;2301
29.06.2017;4210
30.06.2017;402
01.07.2017;916
02.07.2017;417
03.07.2017;51
04.07.2017;0
05.07.2017;15
06.07.2017;0
07.07.2017;46
08.07.2017;0
09.07.2017;0
10.07.2017;0
11.07.2017;0
12.07.2017;909
13.07.2017;415
14.07.2017;5115
15.07.2017;1560
16.07.2017;11
17.07.2017;52
18.07.2017;44
19.07.2017;13
20.07.2017;0
21.07.2017;14
22.07.2017;0
23.07.2017;29
24.07.2017;0
25.07.2017;1029
26.07.2017;0
27.07.2017;0
28.07.2017;254
29.07.2017;50
30.07.2017;48
31.07.2017;410
01.08.2017;12
02.08.2017;2
03.08.2017;569
04.08.2017;392
05.08.2017;59
06.08.2017;161
07.08.2017;392
08.08.2017;0
09.08.2017;3
10.08.2017;85
11.08.2017;0
12.08.2017;353
13.08.2017;0
14.08.2017;50
15.08.2017;13
16.08.2017;124
17.08.2017;47
18.08.2017;59
19.08.2017;306
20.08.2017;58
21.08.2017;26
22.08.2017;114
23.08.2017;0
24.08.2017;0
25.08.2017;73
26.08.2017;53
27.08.2017;83
28.08.2017;70
29.08.2017;55
30.08.2017;654
31.08.2017;0
01.09.2017;286
02.09.2017;389
03.09.2017;41
04.09.2017;0
05.09.2017;0
06.09.2017;111
07.09.2017;27
08.09.2017;230
09.09.2017;62
10.09.2017;1
11.09.2017;0
12.09.2017;0
13.09.2017;0
14.09.2017;183
15.09.2017;280
16.09.2017;389
17.09.2017;1351
18.09.2017;410
19.09.2017;0
20.09.2017;0
21.09.2017;127
22.09.2017;50
23.09.2017;46
24.09.2017;92
25.09.2017;27
26.09.2017;232
27.09.2017;374
28.09.2017;896
29.09.2017;292
30.09.2017;271
01.10.2017;317
02.10.2017;138
03.10.2017;156
04.10.2017;764
05.10.2017;0
06.10.2017;0
07.10.2017;55
08.10.2017;110
09.10.2017;288
10.10.2017;349
11.10.2017;694
12.10.2017;139
13.10.2017;778
14.10.2017;275
15.10.2017;8
16.10.2017;432
17.10.2017;70
18.10.2017;212
19.10.2017;210
20.10.2017;501
21.10.2017;0
22.10.2017;33
23.10.2017;53
24.10.2017;21
25.10.2017;0
26.10.2017;0
27.10.2017;9
28.10.2017;48
29.10.2017;0
30.10.2017;96
31.10.2017;0
01.11.2017;157
02.11.2017;111
03.11.2017;672
04.11.2017;1125
